Data,Matricula,DescDiaNaoUtil,DescJustificativa,DataInicioJustificativa,DataFimJustificativa
20241101,09815703,Dia útil,Férias,20241015,20241113
20241102,09815703,Dia de Finados,Férias,20241015,20241113
20241103,09815703,Dia útil,Férias,20241015,20241113
20241104,09815703,Dia útil,Férias,20241015,20241113
20241105,09815703,Dia útil,Férias,20241015,20241113
20241106,09815703,Dia útil,Férias,20241015,20241113
20241107,09815703,Dia útil,Férias,20241015,20241113
20241108,09815703,Dia útil,Férias,20241015,20241113
20241109,09815703,Dia útil,Férias,20241015,20241113
20241110,09815703,Dia útil,Férias,20241015,20241113
20241111,09815703,Dia útil,Férias,20241015,20241113
20241112,09815703,Dia útil,Férias,20241015,20241113
20241113,09815703,Dia útil,Férias,20241015,20241113
20241114,09815703,Dia útil,Serviço externo,20241114,20241114
20241115,09815703,Proclamação da República (FT),Sem justificativa,N/A,N/A
20241116,09815703,Dia útil,Sem justificativa,N/A,N/A
20241117,09815703,Dia útil,Sem justificativa,N/A,N/A
20241118,09815703,Dia útil,Serviço externo,20241118,20241118
20241119,09815703,Dia útil,Serviço externo,20241119,20241119
20241120,09815703,Dia de Zumbi dos Palmares,Sem justificativa,N/A,N/A
20241121,09815703,Dia útil,Serviço externo,20241121,20241121
20241122,09815703,Dia útil,Débito Banco de Horas,20241122,20241122
20241123,09815703,Dia útil,Sem justificativa,N/A,N/A
20241124,09815703,Dia útil,Sem justificativa,N/A,N/A
20241125,09815703,Dia útil,Serviço externo,20241125,20241125
20241126,09815703,Dia útil,Crédito Banco de Horas,20241126,20241126
20241127,09815703,Dia útil,Crédito Banco de Horas,20241127,20241127
20241128,09815703,Dia útil,Serviço externo,20241128,20241128
20241129,09815703,Dia útil,Serviço externo,20241129,20241129
20241130,09815703,Dia útil,Sem justificativa,N/A,N/A
